,2,3,4,5,6,9,10,11,12,13,14,15,16,echo_mean,echo_std,echo_max,echo_cont_mean,echo_cont_median,echo_cont_std,echo_cont_max,shadow_mean,shadow_median,shadow_std,shadow_min,shadow_max,target
158,0,0,0,124,251,0,63,0,35,56,239,24,0,0.0,0.0,0,6.0,0.0,12.0,24,167.5,181.5,93.82430388763883,56,251,0
159,0,0,0,169,231,0,55,0,22,62,220,22,4,0.0,0.0,0,6.5,2.0,10.503967504392486,22,170.5,194.5,77.21182983628005,62,231,0
160,0,0,0,172,207,0,53,0,8,66,212,21,13,0.0,0.0,0,8.5,6.5,10.344080432788601,21,164.25,189.5,67.87427102125419,66,212,0
161,0,0,1,118,191,0,84,0,10,70,197,6,24,0.0,0.0,0,7.5,3.0,11.357816691600547,24,144.0,154.5,61.019122685706755,70,197,0
162,0,0,4,48,195,27,94,0,23,73,190,28,36,0.0,0.0,0,22.75,27.5,15.692354826475215,36,126.5,131.5,76.91770494062686,48,195,0
163,0,0,0,33,230,19,56,0,17,80,185,46,25,0.0,0.0,0,22.5,22.0,18.947295321496416,46,132.0,132.5,91.13725912051558,33,230,0
164,0,0,0,43,255,16,53,0,25,88,191,37,22,0.0,0.0,0,18.75,19.0,15.305227865013967,37,144.25,139.5,96.37902607241197,43,255,0
165,0,0,3,60,255,9,90,0,24,88,211,86,10,0.0,0.0,0,26.25,9.5,40.08636509670921,86,153.5,149.5,94.23552055002048,60,255,0
166,0,0,8,87,253,10,101,0,10,80,237,20,20,0.0,0.0,0,12.5,15.0,9.574271077563381,20,164.25,162.0,93.51425916226181,80,253,0
167,0,0,0,91,227,21,52,0,12,75,255,3,32,0.0,0.0,0,14.0,12.0,15.165750888103101,32,162.0,159.0,92.1665159733548,75,255,0
168,0,0,0,63,212,23,33,0,10,71,255,0,44,0.0,0.0,0,16.75,11.5,21.156165374030646,44,150.25,141.5,97.77312173257705,63,255,0
169,0,0,0,44,206,16,49,0,8,62,255,4,51,0.0,0.0,0,17.75,10.0,23.185843381971967,51,141.75,134.0,104.67210707729161,44,255,0
